location_id,date,mean,upper,lower,location_name
536,2020-06-21,2508.08011248366,2964.36473564173,2151.48295194397,Illinois
536,2020-06-22,2471.23710163919,2905.13228914523,2130.10321390767,Illinois
536,2020-06-23,2439.563811859,2838.60458002559,2110.53716033081,Illinois
536,2020-06-24,2411.90185497404,2806.62020668748,2084.71893210589,Illinois
536,2020-06-25,2387.18295284154,2752.53081882958,2052.96768629585,Illinois
536,2020-06-26,2364.4394879444,2727.22741746822,2028.37316655855,Illinois
536,2020-06-27,2342.83123656961,2706.53326993565,1997.78271575938,Illinois
536,2020-06-28,2321.67356851411,2682.38525526679,1974.89651793371,Illinois
536,2020-06-29,2300.45940412841,2653.29168497771,1963.45025402898,Illinois
536,2020-06-30,2278.85329545633,2631.53301541169,1940.7047045375,Illinois
536,2020-07-01,2256.68538529432,2622.04759285421,1916.36482645768,Illinois
536,2020-07-02,2233.94994518323,2596.4545214511,1899.98935376303,Illinois
536,2020-07-03,2210.78879042398,2579.20653549248,1885.92454766172,Illinois
536,2020-07-04,2187.45285583337,2536.19662894596,1876.03942672188,Illinois
536,2020-07-05,2164.2664274526,2503.44799271061,1854.12137555431,Illinois
536,2020-07-06,2141.59828315874,2479.29250538922,1831.21812279341,Illinois
536,2020-07-07,2119.84337515902,2448.78664806507,1804.36346325815,Illinois
536,2020-07-08,2099.41888012222,2411.69201005486,1791.83847666833,Illinois
536,2020-07-09,2080.74535162106,2386.95938750866,1780.97216058495,Illinois
536,2020-07-10,2064.22906101683,2367.60112323177,1770.26016630009,Illinois
536,2020-07-11,2050.25213152356,2346.84867255211,1754.7056007275,Illinois
536,2020-07-12,2039.16201119996,2334.76633478351,1743.16330900501,Illinois
536,2020-07-13,2031.25667249786,2316.8975857555,1729.7443527455,Illinois
536,2020-07-14,2026.78177258729,2316.41478265822,1729.43475528029,Illinois
536,2020-07-15,2025.9330354548,2329.67996012055,1735.38937550945,Illinois
536,2020-07-16,2028.85043504398,2334.08281109794,1737.41417449363,Illinois
536,2020-07-17,2035.62117214421,2349.19646939234,1741.27788465326,Illinois
536,2020-07-18,2046.28366043041,2361.22265882941,1750.84636797033,Illinois
536,2020-07-19,2060.82663905089,2379.28187774817,1759.46640196568,Illinois
536,2020-07-20,2079.18841539866,2399.87558177142,1786.45163317067,Illinois
536,2020-07-21,2101.25286503465,2421.80022453556,1809.26782282148,Illinois
536,2020-07-22,2126.84518929471,2447.97862847273,1829.41700968107,Illinois
536,2020-07-23,2155.73187949522,2481.33952196545,1848.58363919983,Illinois
536,2020-07-24,2187.61790535069,2522.88099458175,1869.51435457441,Illinois
536,2020-07-25,2222.1432623553,2562.40857262165,1899.09912069835,Illinois
536,2020-07-26,2258.88282447866,2606.3654685146,1928.91821575639,Illinois
536,2020-07-27,2297.33488350369,2660.76824119401,1974.62867227651,Illinois
536,2020-07-28,2336.92308346173,2694.80349682633,2007.08703505925,Illinois
536,2020-07-29,2377.01907673299,2748.25849798792,2034.52331041981,Illinois
536,2020-07-30,2416.96570261898,2799.64655656569,2066.64755932971,Illinois
536,2020-07-31,2456.08921928706,2855.03654977532,2104.20487796531,Illinois
536,2020-08-01,2493.71600651284,2894.4959610633,2128.7710543777,Illinois
